Inactive Keff:
Cycle       Keff
    1        0.667
    2     0.881559
    3      1.08929
    4     0.942233
    5     0.984258
    6     0.999158
    7     0.988206
    8       1.0162
    9      1.01091
   10     0.945228
   11       1.0676
   12      1.03125
   13     0.976874
   14      1.01714
   15      1.00803
   16     0.964968
   17     0.981848
   18     0.984034
   19      1.07173
   20     0.917131
Active cycle Keff:
Cycle       Keff         Average           St.d
Cell  80:  824.844       0.0126102
Cell  81:  820.658       0.0110598
Cell  82:   817.32       0.0104996
Cell  83:   800.24       0.0107799
Cell  84:  799.255       0.0104957
Cell  85:  807.316       0.0116211
Cell  86:  810.557       0.0115818
Cell  87:   804.16       0.0114593
Cell  88:  789.853       0.0114142
Cell  89:  790.212       0.012158
Cell  90:  773.452       0.0114849
Cell  91:  749.626       0.0122522
Cell  92:  738.875       0.0120965
Cell  93:  738.158       0.0119552
Cell  94:  718.246       0.0118635
Cell  95:  703.427       0.0126357
Cell  96:  685.897       0.0130387
Cell  97:  666.574       0.0105354
Cell  98:  650.484       0.0111184
Cell  99:  631.821       0.0125239
Cell 100:  609.516       0.0153403
Cell 101:  583.159       0.0152369
Cell 102:  570.625       0.0162356
Cell 103:  534.181       0.0130583
Cell 104:  511.946       0.0136627
Cell 105:  498.239       0.0130761
Cell 106:   472.52       0.0123551
Cell 107:  453.596       0.0147594
Cell 108:  435.857       0.0149982
Cell 109:  414.536       0.0146536
Cell 110:   391.18       0.0160471
Cell 111:  374.338         0.0186
Cell 112:  350.437       0.0178849
Cell 113:  322.087       0.0190062
Cell 114:  301.986       0.019697
Cell 115:  281.972       0.0207472
Cell 116:  262.586       0.0214131
Cell 117:  242.802       0.0198157
Cell 118:  226.256       0.0200056
Cell 119:  220.246       0.0231659
Cell 120:  203.181       0.0321487
Cell 121:  184.147       0.0263184
Cell 122:  168.549       0.0340052
Cell 123:  157.693       0.0323575
Cell 124:  137.547       0.0307007
Cell 125:  117.715       0.0295879
Cell 126:   108.73       0.0316643
Cell 127:  95.9304       0.035125
Cell 128:  83.8412       0.0433695
Cell 129:  72.9124       0.0469609
Cell 130:  53.2703       0.0445656
Cell 131:  42.5337       0.0423594
Cell 132:  33.6857       0.0454275
Cell 133:  27.9793       0.0483695
Cell 134:  22.9574       0.0528891
Cell 135:  18.7559       0.0547182
Cell 136:  14.7798       0.0615651
Cell 137:  11.8613       0.0673833
Cell 138:  9.34084       0.0684727
Cell 139:  7.25137       0.0732251
Cell 140:  5.30392       0.0852045
Cell 141:  4.51264       0.0920109
Cell 142:  3.54135        0.10919
Cell 143:  2.71882       0.133713
Cell 144:  2.01535       0.169729
Cell 145:  1.35604       0.206841
Cell 146: 0.878298       0.268208
Cell 147: 0.550694       0.310191
Cell 148: 0.477359       0.333222
Cell 149: 0.390856       0.379001
Cell 150: 0.256272       0.428995
Cell 151: 0.146642        0.57464
Cell 152: 0.0639981              1
Cell 153: 0.0639981              1
Cell 154: 0.0639981              1
Cell 155:        0       -nan(ind)
Cell 156:        0       -nan(ind)
Cell 157:        0       -nan(ind)
Cell 158:        0       -nan(ind)
Cell 159:        0       -nan(ind)
Cell 160:        0       -nan(ind)
Group 2:
Cell   1:        0       -nan(ind)
Cell   2:        0       -nan(ind)
Cell   3:        0       -nan(ind)
Cell   4:        0       -nan(ind)
Cell   5:        0       -nan(ind)
Cell   6:        0       -nan(ind)
Cell   7: 0.0735281              1
Cell   8: 0.0735281              1
Cell   9: 0.0735281              1
Cell  10: 0.0735281              1
Cell  11: 0.0837887       0.884508
Cell  12: 0.191774       0.532762
Cell  13: 0.229168       0.441721
Cell  14: 0.344455       0.416253
Cell  15: 0.579809       0.288113
Cell  16: 0.886641       0.223442
Cell  17:   1.2753       0.193125
Cell  18:  1.88784       0.223109
Cell  19:  2.07796        0.15842
Cell  20:  2.99355       0.157596
Cell  21:  5.79798       0.230466
Cell  22:  6.19448       0.141232
Cell  23:  5.88699       0.122098
Cell  24:  6.85764       0.105117
Cell  25:  8.08971       0.108885
Cell  26:  8.79534       0.0982604
Cell  27:  10.9561       0.129652
Cell  28:  11.6137       0.0649037
Cell  29:  14.5828       0.0626239
Cell  30:  14.6209       0.0462628
Cell  31:  15.3827       0.0398524
Cell  32:  17.3604       0.0335702
Cell  33:  19.3643       0.0321908
Cell  34:   20.922       0.0379441
Cell  35:  23.5896       0.0368735
Cell  36:  25.6231       0.0324336
Cell  37:  28.3877       0.0360913
Cell  38:  30.6204       0.0311952
Cell  39:  34.0777       0.0285126
Cell  40:  37.0834       0.0287532
Cell  41:  40.0334       0.0289089
Cell  42:  43.8886       0.0258166
Cell  43:  47.9326       0.0287142
Cell  44:   50.591       0.0236469
Cell  45:  53.6255       0.0205714
Cell  46:  57.7674       0.0233314
Cell  47:  61.3276       0.0226286
Cell  48:  65.5133       0.0207782
Cell  49:  69.9256       0.0211009
Cell  50:  73.1511       0.0179949
Cell  51:  76.1504       0.0158585
Cell  52:  79.3962       0.0160203
Cell  53:  84.0492       0.0174651
Cell  54:  88.7105       0.0173592
Cell  55:  93.8837       0.0186969
Cell  56:  94.7371       0.0175664
Cell  57:  97.4966       0.0164062
Cell  58:  102.637       0.0153306
Cell  59:  104.723       0.0161469
Cell  60:  108.605       0.0178529
Cell  61:  110.405       0.0176488
Cell  62:  112.045       0.0166178
Cell  63:  114.668       0.0150622
