Inactive Keff:
Cycle       Keff
    1       0.6135
    2      1.02119
    3      1.07662
    4     0.994811
    5      1.01937
    6     0.986842
    7      1.01704
    8      0.96941
    9       1.0571
   10      1.04762
   11      0.88806
   12       1.0848
   13     0.980282
   14     0.967672
   15     0.985895
   16      1.04669
   17     0.964748
   18      1.09694
   19     0.956492
   20     0.970149
Active cycle Keff:
Cycle       Keff         Average           St.d
Cell  77:    38063       0.0441896
Cell  78:  38601.3       0.0443268
Cell  79:  39286.4       0.0438938
Cell  80:  40105.1       0.0440406
Cell  81:  40717.5       0.0437005
Cell  82:  42183.7       0.0433319
Cell  83:  42729.9       0.0438189
Cell  84:    43006       0.0439216
Cell  85:  43956.6       0.0435425
Cell  86:  44786.6       0.0436814
Cell  87:  45168.2       0.0434275
Cell  88:  45693.7       0.0437329
Cell  89:  45934.7       0.0440083
Cell  90:  46264.8       0.044073
Cell  91:  46498.6       0.0440947
Cell  92:  47297.2       0.0438707
Cell  93:  47763.1       0.0439471
Cell  94:  47965.7       0.0440898
Cell  95:  48252.3       0.0436164
Cell  96:  48968.7       0.0436568
Cell  97:  49124.8       0.0438754
Cell  98:  48509.6       0.0443862
Cell  99:  48180.2       0.0444185
Cell 100:  48537.9       0.0443641
Cell 101:  48573.6       0.0440896
Cell 102:  48327.3       0.0440308
Cell 103:  48457.3       0.0440356
Cell 104:  48193.3       0.0444006
Cell 105:    48132       0.0442533
Cell 106:  47877.9       0.0441438
Cell 107:  47705.7       0.0439706
Cell 108:  47341.8       0.0438225
Cell 109:  46773.4       0.0440414
Cell 110:  46653.1       0.0439674
Cell 111:  45776.1       0.0441469
Cell 112:  45261.6       0.0442298
Cell 113:  44561.2       0.0441618
Cell 114:  44056.7       0.0439731
Cell 115:  43331.6       0.0444157
Cell 116:    42669       0.0443145
Cell 117:  42183.3       0.0443107
Cell 118:  41801.7       0.0442309
Cell 119:  41444.3       0.0444999
Cell 120:  40265.2       0.044287
Cell 121:  39560.3       0.0441536
Cell 122:  38780.3       0.0442042
Cell 123:  37659.6       0.0443179
Cell 124:  37175.2       0.044211
Cell 125:    36328       0.0445402
Cell 126:  35471.9       0.0442442
Cell 127:  34648.3       0.0438395
Cell 128:  33197.5       0.0436392
Cell 129:  32373.7       0.0431521
Cell 130:  31416.2       0.042935
Cell 131:  30507.5       0.042916
Cell 132:  30157.7       0.0430157
Cell 133:  28970.9       0.0432175
Cell 134:  28267.6       0.0430545
Cell 135:  27383.5       0.0422778
Cell 136:    26022       0.0425148
Cell 137:  24779.3       0.0425315
Cell 138:  24015.3       0.0429937
Cell 139:  22792.5       0.0429621
Cell 140:  21784.1       0.0430053
Cell 141:  20789.4       0.0429684
Cell 142:  19703.5       0.0428863
Cell 143:  18903.7       0.0424792
Cell 144:  17721.6       0.0423899
Cell 145:  16644.3       0.0424127
Cell 146:    15813       0.0420255
Cell 147:  15046.8       0.0419827
Cell 148:  14563.4       0.0419276
Cell 149:  13797.9       0.0412176
Cell 150:  12649.5       0.0409274
Cell 151:  11845.3       0.0406802
Cell 152:  11176.6       0.040038
Cell 153:  10441.6       0.0392615
Cell 154:  9639.16       0.0383823
Cell 155:  9068.01       0.0380347
Cell 156:  8350.14       0.0377395
Cell 157:  7587.63       0.0376118
Cell 158:  7154.87       0.0374333
Cell 159:  6410.27       0.0374811
Cell 160:  5880.74       0.0373602
Cell 161:  5211.55       0.0376042
Cell 162:  4691.42       0.0376362
Cell 163:  4473.51       0.0381485
Cell 164:  3833.89       0.0392877
Cell 165:  3465.41       0.0376445
Cell 166:  3127.92       0.0359684
Cell 167:  3006.55         0.0349
Cell 168:  2691.15       0.0343622
Cell 169:  2450.64       0.034597
Cell 170:   2109.3       0.0343721
Cell 171:  1855.33       0.0339894
Cell 172:  1723.59       0.0330305
Cell 173:   1560.6       0.0330511
Cell 174:  1458.35       0.0311956
Cell 175:  1317.63       0.0295815
Cell 176:  1137.35       0.0283562
Cell 177:  1033.87       0.0262697
Cell 178:  915.685       0.0254701
Cell 179:  806.786       0.0265034
Cell 180:  646.684       0.0248258
Cell 181:  536.871       0.0212464
Cell 182:  476.399       0.0170714
Cell 183:  402.543       0.0160686
Cell 184:  302.714       0.0166835
Cell 185:  249.723       0.0166668
Cell 186:  226.297       0.0154663
Cell 187:  225.277       0.0148907
Cell 188:  194.735       0.00705196
Cell 189:  233.002       0.00663655
