Inactive Keff:
Cycle       Keff
    1       0.6725
    2      0.86171
    3     0.992235
    4         1.08
    5     0.987923
    6      0.98859
    7     0.998351
    8      1.01239
    9      0.98124
   10      1.02577
   11     0.995138
   12     0.991857
   13     0.986864
   14       1.0183
   15     0.970588
   16     0.997475
   17      1.00422
   18      1.00588
   19      1.00167
   20      1.02836
Active cycle Keff:
Cycle       Keff         Average           St.d
Cell  75:  47281.5       0.0449445
Cell  76:  46807.3       0.0451814
Cell  77:    47484       0.0453324
Cell  78:    47489       0.0451907
Cell  79:  47758.1       0.0445957
Cell  80:  48660.3       0.0441901
Cell  81:  49118.3       0.0444617
Cell  82:  48956.4       0.043505
Cell  83:  48311.4       0.0439463
Cell  84:  48843.6       0.043362
Cell  85:  49096.1       0.0436258
Cell  86:  48677.2       0.0436286
Cell  87:  48106.5       0.0431015
Cell  88:  46770.7       0.0434097
Cell  89:  45531.8       0.0432673
Cell  90:  44770.4       0.0430724
Cell  91:  44192.7        0.04266
Cell  92:  44213.9       0.042561
Cell  93:  43409.4       0.0432834
Cell  94:  43303.4       0.0428123
Cell  95:  41702.2       0.0434614
Cell  96:  40777.1       0.0427626
Cell  97:  39337.3       0.0440666
Cell  98:  38643.6       0.0435672
Cell  99:  37170.8       0.0441672
Cell 100:  35804.6       0.0442574
Cell 101:  35271.2       0.0445274
Cell 102:    33486       0.0440747
Cell 103:  32445.4       0.0441305
Cell 104:  31361.4       0.0439797
Cell 105:  30497.8       0.0437242
Cell 106:  28927.9       0.0441108
Cell 107:  27651.4       0.0431375
Cell 108:  26267.7       0.0429831
Cell 109:  24768.8       0.0434118
Cell 110:  23684.9       0.043738
Cell 111:  22283.5       0.0432827
Cell 112:  20947.9       0.0437361
Cell 113:  20376.9       0.0431975
Cell 114:  19271.8       0.0432959
Cell 115:  17647.6       0.0425128
Cell 116:  16286.1       0.0429161
Cell 117:  14979.9       0.0436845
Cell 118:  14345.2       0.0439724
Cell 119:  12876.8       0.044736
Cell 120:  11852.7       0.0450437
Cell 121:  10951.9       0.0433021
Cell 122:  10127.1       0.0411246
Cell 123:  9433.51       0.0413094
Cell 124:  8415.23       0.0415528
Cell 125:  7913.73       0.0401746
Cell 126:  7025.73       0.0389534
Cell 127:  6373.99       0.0358729
Cell 128:  5357.85       0.0387517
Cell 129:  4666.11       0.0378672
Cell 130:  3563.24       0.0391483
Cell 131:  2668.36       0.0412195
Cell 132:  2142.19       0.0406376
Cell 133:  1787.49       0.0390594
Cell 134:  1428.06       0.0376087
Cell 135:   1149.6       0.0370827
Cell 136:  919.989       0.0373358
Cell 137:  730.338       0.0398079
Cell 138:  592.138       0.0387405
Cell 139:  501.674       0.0373979
Cell 140:  426.307       0.0337019
Cell 141:  337.575       0.0328278
Cell 142:  280.953         0.0322
Cell 143:  259.616       0.0276995
Cell 144:  220.755       0.0223586
Cell 145:  166.696       0.0240959
Cell 146:  138.342       0.0233939
Cell 147:  178.228       0.0157272
Cell 148:  184.138       0.0139264
Cell 149:  145.749       0.014169
Cell 150:  121.662       0.0126696
Cell 151:  117.234       0.00669272
Cell 152:   117.81       0.00505466
Cell 153:  88.1272       0.00307914
Cell 154:  52.7559       0.00514362
Cell 155:  46.3391       0.00585588
Cell 156:    30.57       0.00205885
Cell 157:  40.2905       2.30629e-09
Cell 158:  50.4568       6.55434e-09
Cell 159:  17.2405       5.16029e-09
Cell 160:  10.5751       4.74545e-09
Group 2:
Cell   1:  56.7241       3.27627e-09
Cell   2:  100.241       4.00503e-09
Cell   3:   61.935       4.24352e-09
Cell   4:  34.0721       2.22676e-09
Cell   5:  72.5787       7.08992e-09
Cell   6:  85.6956       1.25207e-09
Cell   7:  67.6982       3.16986e-09
Cell   8:  114.992       4.75778e-09
Cell   9:  108.116       5.95451e-09
Cell  10:   147.38       0.000691567
Cell  11:  112.677       0.00147076
Cell  12:  126.398       0.00220591
Cell  13:   116.19       0.00339515
Cell  14:  120.312       0.00383614
Cell  15:  114.142       0.00905434
Cell  16:  117.354       0.0147207
Cell  17:  151.516       0.0154265
Cell  18:  175.703       0.0155208
Cell  19:  229.268       0.0167466
Cell  20:  264.961       0.0195399
Cell  21:  322.858       0.0197662
Cell  22:  442.746       0.0197539
Cell  23:  574.885       0.0181449
Cell  24:  628.752       0.0196554
Cell  25:  674.502       0.0246291
Cell  26:  813.856       0.029663
Cell  27:  845.051       0.0292284
Cell  28:  922.643       0.0310886
Cell  29:  1149.21       0.0306976
Cell  30:  1122.73       0.0321725
Cell  31:  1164.12       0.0344096
Cell  32:  1233.81       0.0381327
Cell  33:  1324.81       0.0394457
Cell  34:  1386.01       0.0394545
Cell  35:  1503.21       0.0404629
Cell  36:   1633.4       0.0405336
Cell  37:  1799.83       0.0416995
Cell  38:  2040.18       0.0403619
Cell  39:  2228.53       0.0409877
Cell  40:  2427.83       0.0416312
Cell  41:  2528.56       0.0419654
Cell  42:   2721.5       0.0422607
Cell  43:   3020.5       0.0417967
Cell  44:  3189.92       0.0420505
Cell  45:  3475.13       0.0410173
Cell  46:  3775.99       0.0407917
Cell  47:  3882.99       0.0403639
Cell  48:  4075.57       0.0408067
Cell  49:  4263.45        0.04153
Cell  50:   4581.7       0.0416952
Cell  51:  4894.06       0.0419905
Cell  52:  5155.48       0.0411458
Cell  53:  5360.33       0.0413933
Cell  54:  5633.97       0.0409367
Cell  55:  5866.04       0.0419167
Cell  56:  6009.89       0.0421118
Cell  57:  6210.11       0.041914
Cell  58:  6303.23       0.0421989
Cell  59:  6352.11       0.0426095
Cell  60:  6624.68       0.0420698
Cell  61:  6803.15       0.0426785
Cell  62:  7103.52       0.0425064
Cell  63:  7202.24       0.0424466
Cell  64:  7556.33       0.0424062
Cell  65:  7797.65       0.0423112
Cell  66:  7742.74       0.042946
Cell  67:  7983.16       0.0434186
Cell  68:  8156.68       0.0426882
Cell  69:  8301.49       0.042627
Cell  70:  8382.12       0.0433183
Cell  71:  8441.41       0.0439429
Cell  72:  8501.27       0.0443399
Cell  73:  8621.07       0.0438452
Cell  74:  8755.53       0.0435319
Cell  75:  8756.08       0.0442946
Cell  76:  9131.91       0.0427886
Cell  77:  9133.02       0.0428571
Cell  78:  9156.31       0.0435108
Cell  79:  9115.54       0.0434577
Cell  80:   9043.4       0.0439202
Cell  81:  9014.74       0.0432122
Cell  82:   9125.8       0.0426751
Cell  83:  9015.36       0.0427554
Cell  84:  9067.55       0.0432675
Cell  85:  9192.56       0.0430684
Cell  86:  9214.66       0.0423698
Cell  87:  9004.69       0.0429589
Cell  88:  8704.09       0.0431378
Cell  89:  8438.89       0.0427401
Cell  90:  8400.78       0.0429089
Cell  91:  8461.46       0.0427541
Cell  92:  8247.16       0.0428272
Cell  93:  8029.08       0.0436591
Cell  94:  7951.26       0.0436386
Cell  95:  7831.17       0.044077
Cell  96:   7500.1       0.0445341
Cell  97:  7309.78       0.0442067
Cell  98:  7092.21       0.0443484
Cell  99:  6870.12       0.0444716
Cell 100:  6558.23       0.0453322
Cell 101:  6498.63       0.0451069
Cell 102:  6352.56       0.0442663
Cell 103:  6122.27       0.0433446
Cell 104:   5975.5       0.0430702
Cell 105:  5757.67       0.0433514
Cell 106:  5592.13       0.0434064
Cell 107:  5451.76       0.0422591
Cell 108:     5194       0.042656
Cell 109:  4897.94       0.0425231
Cell 110:  4810.39       0.0423644
Cell 111:  4444.99       0.0422686
Cell 112:   4242.3       0.0430286
Cell 113:   4028.5       0.0428117
Cell 114:  3860.23       0.042047
Cell 115:   3565.1       0.0426392
Cell 116:  3301.69       0.0424804
Cell 117:  3091.65       0.0422212
Cell 118:  2917.58       0.0423617
Cell 119:  2755.57       0.0430936
Cell 120:  2574.74       0.0418698
Cell 121:   2468.5       0.0411082
Cell 122:  2272.53       0.0404206
Cell 123:  2056.74       0.040238
Cell 124:  1970.24       0.0395866
Cell 125:  1814.12       0.0387567
Cell 126:  1676.61       0.0400433
Cell 127:  1510.07       0.0385953
Cell 128:  1392.59       0.0395933
Cell 129:  1370.84       0.0365683
Cell 130:  1395.26       0.0369879
Cell 131:  1306.53       0.0343865
Cell 132:  1007.39       0.0369373
Cell 133:  893.424       0.0336423
Cell 134:  763.891       0.0342904
Cell 135:  658.382       0.0312894
Cell 136:  553.328       0.0283437
Cell 137:  523.393       0.0308652
Cell 138:  427.525       0.0233578
Cell 139:  341.247       0.0217627
Cell 140:  306.342       0.021563
Cell 141:  285.371       0.0191407
Cell 142:  235.042       0.0175194
Cell 143:  208.373       0.0136281
Cell 144:  217.452       0.0104744
Cell 145:   194.63       0.0107601
Cell 146:  180.951       0.00962279
Cell 147:  173.619       0.00546191
Cell 148:  149.821       0.00397459
Cell 149:  118.631       0.00196849
Cell 150:  103.743       0.00164879
Cell 151:  85.9542       0.00301651
Cell 152:  64.3226       0.00245396
Cell 153:  52.1503       0.000851993
Cell 154:  49.6727       0.0029534
Cell 155:  38.4882       0.00381165
Cell 156:  28.5466       0.00119197
Cell 157:   38.947       5.50989e-09
Cell 158:  27.0836       5.05018e-09
Cell 159:  7.33974       3.41861e-09
Cell 160:  3.49263       3.5921e-09
